symbol,date,monthly_open,monthly_high,monthly_low,monthly_volume
1,IBM,1999-12-31,102.56,122.12,102.25,158626300
2,IBM,1999-12-31,102.56,122.12,102.25,158626300
3,IBM,1999-12-31,102.56,122.12,102.25,158626300
4,IBM,1999-12-31,102.56,122.12,102.25,158626300
5,IBM,1999-12-31,102.56,122.12,102.25,158626300
6,IBM,1999-12-31,102.56,122.12,102.25,158626300
7,IBM,1999-12-31,102.56,122.12,102.25,158626300
8,IBM,1999-12-31,102.56,122.12,102.25,158626300
9,IBM,1999-12-31,102.56,122.12,102.25,158626300
10,IBM,1999-12-31,102.56,122.12,102.25,158626300
11,IBM,1999-12-31,102.56,122.12,102.25,158626300
12,IBM,1999-12-31,102.56,122.12,102.25,158626300
13,IBM,1999-12-31,102.56,122.12,102.25,158626300
14,IBM,1999-12-31,102.56,122.12,102.25,158626300
15,MSFT,2023-06-27,325.93,351.47,322.5,483659129
16,MSFT,2023-05-31,306.97,335.94,303.4,600453246
17,MSFT,2023-04-28,286.52,308.93,275.37,551356990
18,MSFT,2023-03-31,250.76,289.27,245.61,747751976
19,MSFT,2023-02-28,248.0,276.76,245.47,615540778
20,MSFT,2023-01-31,243.08,249.83,219.35,666168068
21,MSFT,2022-12-30,253.87,263.915,233.87,591366468
22,MSFT,2022-11-30,234.6,255.33,213.431,615328220
23,MSFT,2022-10-31,235.41,251.04,219.13,671366804
24,MSFT,2022-09-30,258.87,267.45,232.73,575416752
25,MSFT,2022-08-31,277.82,294.18,260.66,476959033
26,MSFT,2022-07-29,256.39,282.0,245.94,534986150
27,MSFT,2022-06-30,275.195,277.69,241.51,621501474
28,MSFT,2022-05-31,277.71,290.88,246.44,742766114
29,MSFT,2022-04-29,309.37,315.11,270.0,622644983
30,MSFT,2022-03-31,296.4,315.95,270.0,732627846
31,MSFT,2022-02-28,310.41,315.12,271.52,697204843
32,MSFT,2022-01-31,335.35,338.0,276.05,946705316
33,MSFT,2021-12-31,335.13,344.3,317.25,625743806
34,MSFT,2021-11-30,331.355,349.67,326.37,507120518
35,MSFT,2021-10-29,282.1217,332.0,280.25,516523658
36,MSFT,2021-09-30,302.865,305.32,281.62,502931199
37,MSFT,2021-08-31,286.36,305.84,283.74,440360333
38,MSFT,2021-07-30,269.61,290.15,269.6,522303043
39,MSFT,2021-06-30,251.23,271.65,243.0,508388858
